,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,mixing_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
0,fancy-sweep-117,3,99999.99999999999,-3.7800297570188897,-8.575301170349121,12.355331423278653,uniform,0.003937497269362211,0.945642789493334,0.0010182876139879227,7,0.0022540180943906307,0.004039390478283167,0,-1,0.9744257859766021,8,0.9741652004936227,0.9454097463432262,-4.116581215108051,32,6.992764472961426,0.13633283972740173,0.005887713748961687,0.009572690352797508,0.008590727113187313,0.06021095646389085,0.045368472923140724,0.05132347695795492,0.0001660827295775829,0.0002204173814036263,0.00019484260601034835
1,twilight-sweep-116,3,99999.99999999999,-3.7554117031859775,-8.391400337219238,12.14681130544021,uniform,0.0032652372028678656,0.9606268128271356,0.00026886368868872523,3,0.00426735682412982,0.0036987659987062216,0,-1,0.9630114523357713,14,0.8254841766850521,0.9606007241028399,-4.229104518614786,25,15.384982109069824,0.22300291061401367,0.00725887855514884,0.006904541049152613,0.010383718647062778,0.05711227854786305,0.04911591025171802,0.04281334490230737,0.00017509369708686168,0.00020360001369719525,0.00023357203280468432
2,cerulean-sweep-115,3,99999.99999999999,-3.4592411195008257,-8.425379753112793,11.884621142185557,uniform,0.001991610275581479,0.9470050179472068,0.0006081746541894972,4,0.001566738123074174,0.0022013727575540543,0,-1,0.9611834667119791,10,0.918849788868072,0.9471084313403347,-4.131918365659124,34,13.007463455200195,0.12483777105808258,0.008930996060371399,0.010304626077413559,0.004954210482537746,0.046543899856055226,0.044134888954433515,0.06512002716343446,0.00021485092634967564,0.00022657811624550295,0.00015356258950725837
3,mild-sweep-114,3,99999.99999999999,-3.688002431696636,-8.437675476074219,12.125678022211776,uniform,0.006163022480905056,0.9534808295145686,0.0004493052256293595,2,0.0015914287650957704,0.007073451764881611,0,-1,0.974564960170206,7,0.9694289785708888,0.9539605197565136,-4.156571153161739,30,12.701055526733398,0.0750771313905716,0.008365083485841751,0.006310555152595043,0.009031852707266808,0.048874523867571185,0.053765968357782024,0.04416171499443089,0.00020460557379741796,0.00018599125628047234,0.00022644048133685645
4,misunderstood-sweep-113,3,99999.99999999999,-3.828813684331887,-8.697073936462402,12.525886974838883,uniform,0.012004434131085873,0.9550917178085412,4.5482636778615415e-05,5,0.0012881673173978925,0.010434509254992008,0,-1,0.9734835233941321,8,0.9554233596498894,0.9581738091577455,-3.8693783960831425,24,12.686101913452148,0.1123841181397438,0.007309599779546261,0.0038565178401768208,0.005925320088863373,0.05111978047587318,0.07189860575711382,0.05658594748785917,0.00019561899340940375,0.00013908475546496363,0.0001767223214234516
5,crimson-sweep-112,3,99999.99999999999,-4.265572637792958,-8.35550308227539,12.621076393998194,uniform,0.007234021555632353,0.9679242628007488,0.0006634762976318598,2,0.009020742028951645,0.009169344790279865,0,-1,0.9764955833209479,27,0.6774097045933621,0.9687108588136968,-4.266053031075038,37,13.606918334960938,0.11829578876495361,0.011236915364861488,0.008409959264099598,0.005828067660331726,0.04302542663721454,0.04707720158556605,0.05439520174934742,0.0002324207051871642,0.00021241704398729635,0.00018383974465394773
6,wandering-sweep-111,3,99999.99999999999,-3.983424183315015,-8.514846801757812,12.498271664088946,uniform,0.000938379904255271,0.9604001638910742,0.0008484344580210745,8,0.0027249909471720457,0.0036208853125572205,0,-1,0.9678090140405193,13,0.9617982569570768,0.9606915682934711,-3.986596183352981,22,6.497276782989502,0.1081242561340332,0.00807677861303091,0.004301318433135748,0.006246027536690235,0.04425478004944439,0.06292269827253083,0.05507060256359697,0.00022596429106250975,0.00015892516173874162,0.00018158508413725343
7,lively-sweep-113,3,99999.99999999999,-3.944195986139918,-8.430634498596191,12.37483284730528,uniform,0.004619624000042677,0.957689107277604,0.002617449965327978,3,0.008990434929728508,0.005289723630994558,0,-1,0.972354195598973,17,0.8519478190351091,0.9634414038814725,-4.194032663523333,28,15.924103736877441,0.2212810069322586,0.007109188009053469,0.008671730756759644,0.009170901961624622,0.04914517397678342,0.05165072144866745,0.045030408753144124,0.0002034787791111307,0.00019360813788319302,0.0002220721569466495
8,hopeful-sweep-112,3,10000.0,-4.8520173566107925,-4.670870780944824,9.522886780794956,uniform,0.001142323832027614,0.9722157781899836,0.00032629139604978263,52,0.0007767003262415528,0.0005477498634718359,0,-1,0.9734080068554036,51,0.9725671733288221,0.9729659855707242,-4.889961666025329,50,28.678768157958984,0.40111422538757324,0.1761140078306198,0.1814233809709549,0.18737393617630005,0.03215617815296756,0.033837204866406845,0.03227767540946247,0.0031098223030205287,0.0029553268479122737,0.003098116538178092
9,stellar-sweep-111,3,10000.0,-4.766297660187805,-4.726625919342041,9.492922484711723,uniform,0.003053625812754035,0.9538571375891804,0.0007064921082928777,2,0.003053625812754035,0.0038929430302232504,0,-1,0.9538571375891804,26,0.8994347854056964,0.952183612363735,-4.770192608000208,21,10.274015426635742,0.18862614035606384,0.12323138117790222,0.15317228436470032,0.1581706702709198,0.0399252799735097,0.03374829426669468,0.03243512220405109,0.002504678741547954,0.0029631127194089755,0.003083077639445741
10,icy-sweep-110,3,10000.0,-4.726842067698647,-4.703607559204102,9.430450677216069,uniform,0.001905446406453848,0.9568025729937276,0.0008517697569914162,24,0.0017614949028939009,0.0018561235629022121,0,-1,0.9596788167438334,18,0.9564151425412538,0.9560368516258166,-4.741171798687771,25,15.517538070678711,0.2026975452899933,0.18041568994522095,0.12002994865179062,0.15098989009857178,0.03161695194183167,0.03656790380914843,0.038199779446381976,0.003162860233458883,0.002734638565062686,0.0026178161614875844
11,smooth-sweep-120,3,1000000.0,-2.208658554449993,-13.102924346923828,15.311586090460738,uniform,0.002088912297040224,0.9619334194008348,4.259681736584753e-05,5,0.0011086019221693277,0.0019113019807264209,0,-1,0.9639174891415458,41,0.8127102161971876,0.9625731384588295,-2.435061152313434,46,5.684450626373291,0.07384373992681503,0.00014945960720069706,0.00013819074956700206,0.00026084750425070524,0.13484629268509796,0.14183467377564796,0.08694300274876188,7.415850892803309e-06,7.050462156960191e-06,1.1501788164479293e-05
12,scarlet-sweep-117,3,1000000.0,-0.4630491435160185,-14.71034812927246,15.173395167075595,uniform,0.001030831364914775,0.9504042831501416,0.001030831364914775,11,0.001030831364914775,0.0013122358359396458,0,-1,0.9504042831501415,11,0.9504042831501415,0.9223874102632507,-0.7417251731406348,6,3.9072468280792236,0.09046924114227295,4.5835568016627803e-05,6.040275911800563e-05,5.71517703065183e-05,0.37599963119177815,0.28050390183554796,0.2771146875079502,2.6595770767922674e-06,3.5650127982400527e-06,3.6086142131001653e-06
13,fluent-sweep-114,3,99999.99999999999,-3.6409183215934537,-8.71437931060791,12.355301525735706,uniform,0.0009355697548016906,0.9696695159048024,0.0001555143971927464,7,0.0008734334260225296,0.0006460825679823756,0,-1,0.9700190344207312,19,0.9285814990922567,0.9695950636410492,-3.733093152057898,18,15.304520606994629,0.27431607246398926,0.0073929233476519585,0.009558127261698246,0.001937435008585453,0.047192585615235316,0.04448147238644595,0.0980766534560793,0.00021189769260643505,0.00022481270208688333,0.00010196106461236671
14,atomic-sweep-116,3,99999.99999999999,-3.9964299286951466,-8.473587036132812,12.470016196802236,uniform,0.0010266952449455855,0.9704636337031584,0.0007280069985426962,24,0.0010266952449455857,0.0007280069985426962,0,-1,0.9704636337031584,29,0.9654203781807004,0.9654203781807004,-4.108456539526254,24,11.6193265914917,0.15918272733688354,0.005522134713828564,0.00822946336120367,0.007854738272726536,0.05412022478738643,0.04549233422608623,0.05059183723605898,0.0001847738075605824,0.00021981725427194717,0.00019766034495526428
15,laced-sweep-114,3,99999.99999999999,-3.747861841181339,-8.485845565795898,12.23370704076629,uniform,0.003681480418890714,0.94622772628717,0.00026948991580866277,5,0.002435030648484826,0.005045710131525993,0,-1,0.9624520969911899,9,0.9307246142463245,0.9504173652726153,-4.045603367728947,23,6.350098133087158,0.045951008796691895,0.0074104187078773975,0.007824648171663284,0.008241565898060799,0.05053170617067004,0.04963775574455398,0.051910993802490646,0.0001978955542531091,0.000201459551303287,0.00019263742162301293
16,ancient-sweep-112,3,99999.99999999999,-3.5867838863664723,-8.464359283447266,12.05114187790294,uniform,0.003385597141459584,0.9511982734357544,0.0001238663971889764,3,0.0032252692617475986,0.0034059041645377874,0,-1,0.9666630720870624,12,0.9101642079802549,0.9570160414253922,-4.190282996180034,18,20.344823837280273,0.13695941865444183,0.007777527440339327,0.008751064538955688,0.005788732320070267,0.04947519359831265,0.04489416932786927,0.05457608475006115,0.00020212149306963098,0.00022274607481805506,0.00018323043959266052
17,spring-sweep-113,3,99999.99999999999,-3.934933614193018,-8.59042739868164,12.52536414092642,uniform,0.0028354136738926172,0.9628186809836108,0.0013810552190989256,10,0.0028354136738926172,0.002425172133371234,0,-1,0.9628186809836109,20,0.9585912559977683,0.960049861076138,-3.9357892438519024,15,7.292860507965088,0.08653300255537033,0.007939181290566921,0.007792878895998001,0.004224258475005627,0.048886818918391306,0.04508161740276151,0.07069579754116351,0.0002045541154292202,0.0002218199030141151,0.00014145112365664136
18,wild-sweep-110,3,99999.99999999999,-3.5356188270107873,-8.606730461120605,12.142348916834196,uniform,0.0007495575118809938,0.9773873982343092,0.0001608619641046971,22,0.0004123713297303766,0.0005705159273929894,0,-1,0.9774844529148621,23,0.9772335413175629,0.9770269813381192,-3.8494994768618565,19,7.684789657592773,0.04684388265013695,0.00539377611130476,0.005054275505244732,0.004751363303512335,0.055241697434891046,0.05499009898947116,0.06012498050964177,0.0001810226778745566,0.00018185091832467295,0.00016632022023518796
19,tough-sweep-105,3,99999.99999999999,-4.206099148908191,-8.434035301208496,12.640137116590076,uniform,0.012944071553647518,0.9522848402138248,0.0006746088620275259,4,0.008640486747026443,0.012824414297938347,0,-1,0.9736079676238567,9,0.9534496249711604,0.9550103095754325,-4.231724057844882,32,10.786781311035156,0.12018071860074997,0.009175049141049385,0.008281081914901733,0.010139351710677147,0.0498757391555138,0.05229119605971633,0.04693416605366796,0.00020049828171608147,0.0001912367808259739,0.00021306440149730733
20,vital-sweep-104,3,99999.99999999999,-3.676967281204108,-8.408729553222656,12.085697254043469,uniform,0.010155536234378816,0.9491566942519772,0.0007462743087671697,2,0.005732379388064146,0.007542655803263187,0,-1,0.9741405400339662,5,0.9579586144423263,0.951066242099662,-4.1808529151348415,17,15.5274019241333,0.07691662758588791,0.009489307180047035,0.009656140580773354,0.004853139631450176,0.04863367295664589,0.04628629676094698,0.05858920858372585,0.00020561885196115914,0.00021604666391106226,0.00017067989552563563
21,wild-sweep-103,3,10000.0,-4.813178101784183,-4.700777530670166,9.51395572273552,uniform,0.0046500880271196365,0.9712695825677324,0.0006294466438703239,1,0.0013501548673957586,0.0034122951328754425,0,-1,0.9721284534166058,26,0.8978316992583655,0.9707194518652926,-4.831735400377691,24,14.559441566467285,0.11956878006458282,0.17302869260311127,0.16744905710220337,0.17067736387252808,0.02874215028800009,0.032238847132612714,0.03306560226818167,0.0034792108105339012,0.0031018478914166974,0.0030242908987091967
22,jumping-sweep-102,3,10000.0,-4.61484757774301,-4.750312328338623,9.365160905532315,uniform,0.0032307447399944067,0.9448924019098196,0.001019126852042973,20,0.009158715605735779,0.0015327987493947148,0,-1,0.953327603568887,11,0.9435504164459134,0.9452574011820213,-4.616449437411146,25,30.079587936401367,0.49958619475364685,0.1022113561630249,0.139770969748497,0.12079671025276184,0.04848036974030223,0.03973592499174061,0.03536942221904682,0.002062690539195062,0.002516614374040259,0.0028273009205716936
23,colorful-sweep-97,3,10000.0,-4.6314083860260595,-4.76629114151001,9.397700824533135,uniform,0.0012665342073887589,0.9541488325549944,0.0006057739374227822,15,0.0027019870467483997,0.0010076853213831782,0,-1,0.9581737749440373,11,0.9528790473049824,0.9521361051337929,-4.657623243157886,16,5.681216716766357,0.13987401127815247,0.17383092641830444,0.12386617064476013,0.1096833273768425,0.03209140709006775,0.037173506445640436,0.03914560282570201,0.0031160989519512182,0.0026900879029593833,0.002554565335096655
24,magic-sweep-99,3,10000.0,-4.648039443963616,-4.73325252532959,9.38129328282063,uniform,0.001122890505939722,0.963970299559612,0.0005745137459598482,19,0.0009111468098126352,0.0009297548676840961,0,-1,0.9642791759503202,26,0.9624073152289156,0.9627929964107466,-4.708004555431259,22,15.054680824279785,0.3456271290779114,0.13975587487220764,0.14663168787956238,0.13906490802764893,0.037993244253391234,0.03867511929603418,0.03403193998729481,0.002632046880046947,0.0025856416688611016,0.002938416089042621
25,dashing-sweep-96,3,10000.0,-4.788215148154745,-4.683952808380127,9.472170094036908,uniform,0.0012027561897411942,0.969334685463142,0.0005723419017158449,6,0.0012027561897411942,0.0007406374788843095,0,-1,0.969334685463142,25,0.9364655963492998,0.9661767578109159,-4.844148511421851,20,22.851728439331055,0.20801310241222382,0.1808992177248001,0.15404771268367767,0.16805733740329742,0.030984717814527052,0.03425670492836397,0.033097166027445946,0.0032273974737673885,0.002919136566377746,0.0030214067245840515
26,different-sweep-95,3,10000.0,-4.775124847595781,-4.718533992767334,9.493658892497306,uniform,0.0005843187682330608,0.9681520157076412,0.0005843187682330608,25,0.0007635803194716573,0.0007635803194716573,0,-1,0.9683385745561999,20,0.9681520157076411,0.9683385745561999,-4.789404919551446,20,12.672782897949219,0.16163572669029236,0.1680345982313156,0.1445082128047943,0.15679854154586792,0.03267092250958914,0.0355783986010858,0.03247494923785532,0.0030608257226483067,0.00281069423953635,0.0030792965761877846
27,electric-sweep-94,3,10000.0,-4.791726054553264,-4.705492973327637,9.497218414986204,uniform,0.0007245801389217377,0.951880769413882,0.0002328529371879995,2,0.000978243537247181,0.0009432932711206377,0,-1,0.9560526672416305,14,0.8133431422898094,0.9520865150293778,-4.811797024668582,31,35.305885314941406,0.5117314457893372,0.16524933278560638,0.17552943527698517,0.14570310711860657,0.0342328745125684,0.03245381929004054,0.044696198374087004,0.0029211686550974733,0.0030813014365519715,0.0022373267445039762
28,earthy-sweep-93,3,10000.0,-4.72787315474849,-4.71453332901001,9.442405724633746,uniform,0.0007224553264677525,0.9630256110900044,0.0007224553264677525,23,0.0007224553264677525,0.0016241137636825442,0,-1,0.9630256110900044,23,0.9630256110900044,0.9596300350992738,-4.754301137119385,18,17.777036666870117,0.22216129302978516,0.13920854032039642,0.14439068734645844,0.15108850598335266,0.03594244972957572,0.0380923759569749,0.03379302804646134,0.0027822254952676105,0.002625197234033114,0.0029591902762460963
29,winter-sweep-92,3,10000.0,-4.8680215703476355,-4.650415897369385,9.518436458093817,uniform,0.0009474284015595912,0.9709144780205208,0.0003289438900537789,5,0.0009474284015595913,0.0015791854821145535,0,-1,0.9709144780205207,59,0.9599831616233908,0.9701599578287954,-4.889157823588421,54,19.935646057128906,0.2855699360370636,0.17474861443042755,0.18748848140239716,0.1694396734237671,0.03417651091485485,0.032564372442856815,0.032272150027017554,0.0029259862204522144,0.003070840691786019,0.0030986469732038964
30,divine-sweep-91,3,10000.0,-4.729355701892869,-4.697727680206299,9.427083577920287,uniform,0.0018945452757179735,0.9649077370516044,0.0005791168077848852,3,0.002030255738645792,0.002104134764522314,0,-1,0.9651509724726334,20,0.955494163469617,0.9622211213524923,-4.767873633073076,16,23.43374252319336,0.26398012042045593,0.16096459329128265,0.13999691605567932,0.1621938943862915,0.02858600703593428,0.03605607192142557,0.031062721615598754,0.003498215048862689,0.0027734579689635322,0.0032192929273068926
31,treasured-sweep-90,3,10000.0,-4.858850637890652,-4.714030742645264,9.572880875724303,uniform,0.0006008847267366946,0.9729821762315326,0.0003270238230470568,39,0.0006008847267366946,0.000733441673219204,0,-1,0.9729821762315326,41,0.9724472011584141,0.9724138012303009,-4.865906120099039,36,17.727659225463867,0.23750627040863037,0.18050789833068848,0.158808171749115,0.16702419519424438,0.03210346325579483,0.032495849678348954,0.032990204069136775,0.00311492872912861,0.003077316056967949,0.003031202831920421
32,zesty-sweep-89,3,1000.0,-4.674112646237686,-1.463037610054016,6.137150286809282,uniform,0.003138567553833127,0.7611418089134641,0.001565128332003951,16,0.005229727365076542,0.0023609872441738844,0,-1,0.7662877416495992,21,0.7623652722762998,0.7555173038621226,-4.705772307070296,17,1.8141413927078247,0.045212067663669586,1.1819260120391846,1.183972954750061,1.1627423763275146,0.02258571278562216,0.019811503763113913,0.019738066874070093,0.04427577776675661,0.050475724203321304,0.05066352274414981
33,prime-sweep-88,3,1000.0,-4.685496231479774,-1.3085154294967651,5.994011155529152,uniform,1.1452773809432983,0.5190154086148624,0.10560496896505356,46,0.3106737732887268,0.22044555842876434,0,-1,0.5475766367218439,5,0.5274615370514106,0.5310802278592595,-4.7047221333269835,43,16.431177139282227,0.4778236150741577,1.0246913433074951,2.9735517501831055,0.9892765879631042,0.022788615179480054,9.415939236992465e-06,0.027609661386833517,0.04388156068827066,106.20289435081453,0.036219205516112546
34,good-sweep-87,3,1000.0,-4.687575875647215,-1.4682719707489014,6.155848132816301,uniform,0.002866265596821904,0.765558915654214,0.0017789738485589623,29,0.002795173553749919,0.00276951608248055,0,-1,0.7690213768486021,20,0.7674761769310915,0.7634916550303436,-4.708073978885216,27,9.945151329040527,0.16659219563007355,1.1879405975341797,1.201220154762268,1.1013495922088623,0.020249140097380547,0.02500139448298655,0.020729200981609353,0.04938481314223122,0.03999776895166788,0.04824112617206932
35,summer-sweep-86,3,1000.0,-4.689776544412771,-1.457867980003357,6.14764462868452,uniform,0.004329863004386425,0.7661743176562559,0.0024753939360380173,7,0.004329863004386425,0.002488352358341217,0,-1,0.7661743176562559,9,0.7622072850404852,0.7581952557672909,-4.692797691066253,4,1.5129737854003906,0.03752429783344269,1.1808949708938599,1.1518422365188599,1.1387710571289062,0.01720121165905142,0.02122183182695281,0.020242580026437418,0.05813543951561063,0.04712128567195359,0.04940081742020879
36,feasible-sweep-85,3,1000.0,-4.673782426195203,-1.3000710010528564,5.973853616711355,uniform,0.32321447134017944,0.5374219770467811,0.13213056325912476,29,0.3050265610218048,0.44458112120628357,0,-1,0.5451782655893443,11,0.5343538977881264,0.5290625573664214,-4.679057731648881,35,16.6986141204834,0.41275280714035034,1.0565581321716309,1.0422587394714355,3.0659286975860596,0.023644186306456483,0.02521325369287042,9.751596506155872e-05,0.042293694823700975,0.03966168001088932,10.254731103452977
